DATE,Food,Smoke,Drugs,MedEq,Telcm
194506,-0.05,0.35,-4.89,-0.56,2.62
194507,-1.43,-0.19,-1.64,-1.4,2.18
194508,6.44,10.73,10.04,1.87,1.74
194509,7.97,1.26,6.16,9.76,1.9
194510,6.59,0.33,6.88,4.24,2.36
194511,3.47,3,8.07,13.35,3.39
194512,0.03,-1.91,1.1,5.32,0.48
194601,5.58,0.6,7.51,9.81,1.91
194602,-3.91,-5.2,-4.14,-5.67,-2.82
194603,4.4,8.57,15.77,4.52,1.16
194604,1.74,3.89,15.06,11.01,1.59
194605,1.65,3.29,5.28,9.13,2.82
194606,-4.2,-4.75,-5.38,-6.81,0.3
194607,-0.51,-0.76,-3.04,-5.08,-0.08
194608,-5.15,-3.97,-3.04,-5.25,-7
194609,-8.85,-11.17,-6.54,-12.23,-4.74
194610,0.34,4.69,-0.03,-2.58,-5.13
194611,-0.48,0.54,1.45,4.2,1.79
194612,3.27,4.22,7.04,9.31,3.77
194701,1.19,1.97,-5.45,-3.88,1.03
194702,0.57,-4.8,-4.51,-0.74,-2.05
194703,-1.52,-2.73,-2.15,7.89,-2.15
194704,-5.44,-8.32,-8.24,-11.97,-0.22
194705,-0.54,3.6,-2.43,-5.11,-1.1
194706,5.14,5.6,3.91,6.91,-3.17
194707,4.93,3.48,2.62,2.39,0.81
194708,-0.98,-2.49,-3.22,-9.95,0.36
194709,-1.02,-0.69,-2.12,-7.97,0.84
194710,2.37,-1.56,0.54,8.93,0.21
194711,-2.63,0.86,-3.07,-2.73,-2.57
194712,0.19,1.08,3.99,-6.17,0.44
194801,-2.55,-1.61,-8.51,-4.99,0.1
194802,-7.18,-2.46,-2.98,-9.67,-1.06
194803,5.68,-1.71,5.75,13.22,1.95
194804,1.34,-0.89,1.99,3.81,2.65
194805,4.22,2.87,6.64,8.33,2.49
194806,-1.1,-1.59,-2.73,3.56,0.44
194807,-3.5,4.37,-3.92,-7.64,-1.65
194808,-0.5,1.9,-1.89,-2.04,0.06
194809,-4.45,-3.15,-3.87,5.09,-0.23
194810,3.38,3.45,4.39,12.79,1.11
194811,-6.24,-2.89,-5.35,-9.13,-2.06
194812,1.23,0.79,4.35,6.24,1.09
194901,3.88,4.81,5.11,-0.29,-1.26
194902,-2.65,0.36,-1.08,0.48,-0.3
194903,4.66,0.94,5.65,4.16,1.36
194904,-1.43,0.22,-0.07,3.18,-1.64
194905,-0.63,2.9,-1.33,-6.91,-2.18
194906,-0.36,-0.06,2.7,-3.18,1.12
194907,5.59,3.1,5.34,12.83,2.41
194908,4.7,3.51,-1.33,14.76,0.98
194909,2.64,2.68,1.63,3.68,1.23
194910,1.88,-1.39,3.27,4.21,1.88
194911,1.82,2.19,4.82,4.72,1.67
194912,5.89,2.45,7.91,14.98,1.59
195001,1.41,-0.85,1.05,1.16,1.86
195002,1.49,1.43,1.78,2.97,0.66
195003,0.11,-0.66,-3.32,0.21,4.57
195004,-0.46,-2.83,6.95,-4.73,2.37
195005,1.71,0.49,2.57,15.12,1.97
195006,-6.97,-4.48,-3.57,-8.62,-4.28
195007,-1.75,-1.89,-7.77,-0.6,-1.33
195008,3.45,0.35,3.92,1.96,2.56
195009,4.04,4.77,5.55,10.55,-0.46
195010,-0.44,0.15,-1.65,-2.54,0.21
195011,0.14,-1.73,3.61,12.1,-0.24
195012,1.93,-1.38,5.56,9.32,1.89
195101,3.12,3.72,2.96,3.97,1.88
195102,1.68,-0.77,2.53,-5.11,4.11
195103,-1.57,-1.58,2.38,-2.8,-1.1
195104,0.32,-0.59,11.04,5.96,0.85
195105,-1.36,-2.09,1.81,-0.16,-0.41
195106,-3.35,-3.68,0.81,1.04,-0.18
195107,3.26,3.07,15.25,8.44,2.8
195108,3,3.45,-2.19,4.71,2.64
195109,0.07,0.26,-1.69,-2.8,-0.04
195110,-2.9,-2.36,-5.46,-9.87,-1.08
195111,-0.02,0.34,0.13,-5.36,0.49
195112,1.86,0.82,5.58,1.43,0.87
195201,1.05,5.21,0.58,1.32,0.18
195202,-0.61,-2.6,-3.55,-10.36,-0.63
195203,0.92,1.86,0.22,2.59,1.26
195204,-1.91,-3.83,-5.16,-8.6,-0.75
195205,2.1,-0.45,2.08,6.74,1.03
195206,2.38,3.72,-1.25,1.66,2.06
195207,1.01,-0.81,-4.46,-3.61,0.25
195208,1.04,1.52,-0.99,3.14,0.89
195209,-1.07,-0.61,-4.38,-1.58,-0.34
195210,-1.27,7.19,-0.99,-5.25,0.92
195211,5.02,8.2,7.54,4.68,4.07
195212,1.52,0.42,-2.31,1.03,0.88
195301,3.09,4.74,-5,-6.01,1.03
195302,1.29,5.15,1.89,3.42,-0.43
195303,-0.93,-4.46,-0.33,1.09,-0.43
195304,-0.28,4.5,-5.4,-4.92,-1.04
195305,0.42,-0.15,-0.14,0.64,0.37
195306,-1.93,1.36,-3.6,-1.22,0.5
195307,2.57,4.68,3.26,6.57,0.94
195308,-2.61,-5.63,-0.27,2.31,-0.84
195309,0.46,3.67,0.65,-1.11,1.77
195310,1.88,-1.95,2.4,4.41,1.39
195311,3.22,-7.87,8.03,7.63,2.26
195312,1.37,-4.57,-1.05,-3.37,0.53
195401,3.7,2.07,5.89,4.01,1.89
195402,-0.04,-3.39,-0.25,0.27,2.58
195403,2.95,0.29,0.55,-1.62,1.72
195404,0.82,4.03,1.86,-3.62,1.96
195405,2.19,-0.47,0.72,8.41,1.23
195406,2.4,-9.27,-3.26,3.46,0.54
195407,5.98,8.07,9.77,-2.49,4.36
195408,-3.03,-1.37,-2.68,-1.67,-1.43
195409,3.42,5.65,2.45,5.71,2.49
195410,-2.56,-2.66,-1.94,0.71,-0.85
195411,6.22,2.98,12.67,11.75,3.43
195412,2.22,7.51,6.7,1.92,1.58
195501,0.86,1.33,-2.69,-4.31,0.8
195502,1.61,-0.88,3.59,-2.8,3.99
195503,-0.2,-0.15,6.69,1.13,-0.19
195504,4.2,8.73,-0.41,4.31,1.97
195505,-0.52,-2.07,2.79,6.6,1.29
195506,2.81,-1.29,-0.51,6.48,0.69
195507,1.27,7.3,0.18,-0.24,2.61
195508,-1.27,1.65,0.75,-5,-2.44
195509,-2.83,3.23,-2.6,-8.37,1.07
195510,-0.01,-0.37,1.27,-3.54,-1.15
